,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_1.000000000000,0.895273317432026,0.12235415451615513,0.5470498475979967,0.7292395845711367,0.5585980086656184,1.0691518333462604
pSA_1.072267222000,0.8204268789090757,0.12339386745627873,0.5531669616354777,0.729800946833062,0.5651077660006819,1.0760808039537464
pSA_1.149756995000,0.7664961209605292,0.12315573550405563,0.5515424515060872,0.7309840234367749,0.5598869781932473,1.073317355996597
pSA_1.232846739000,0.7064474108059062,0.12364644590864896,0.5595204417483941,0.7132598876047592,0.5537237693866036,1.0622677651063221
pSA_1.321941148000,0.6368266675847191,0.12359315879085353,0.5654883999548929,0.6883470429046074,0.5555728177094427,1.0498856784129744
pSA_1.417474163000,0.5786241693899348,0.12431022349802724,0.5773223432484527,0.6565044095818623,0.561271729559457,1.0389057138243962
pSA_1.519911083000,0.5381620378686732,0.12416166881588156,0.5844538509006029,0.6207704343546512,0.5619123390116616,1.0211208120173454
pSA_1.629750835000,0.49483553787888046,0.12331774988836665,0.5818156377894586,0.611231218962746,0.5524180937121016,1.0086023942424245
pSA_1.747528400000,0.4623787509995114,0.1244573777717293,0.5888690981897841,0.6098686009478688,0.551372201964882,1.0112951252352416
pSA_1.873817423000,0.4202371094433734,0.1270132324787698,0.6054710081663329,0.6034033052809189,0.5452538595730365,1.013899631094314
pSA_2.000000000000,0.3728696549255097,0.12481839094912506,0.594553776402139,0.5957801748769261,0.531236022804554,0.9953190050107684
pSA_2.009233003000,0.36995015799832975,0.1245958368083,0.5932866688567053,0.5957182764623364,0.5303246201566537,0.9940390028055447
pSA_2.154434690000,0.32725078535037805,0.12284072131727038,0.5836868848731132,0.5942376452707333,0.5165462231450743,0.9801167069666885
pSA_2.310129700000,0.2870551103167379,0.120176540855756,0.573639311726307,0.5681718740399757,0.5081184870601031,0.953973655453953
pSA_2.477076356000,0.2489523541644211,0.11667940883818591,0.5592465565110684,0.5391957161886486,0.4993733679887313,0.9235055451820992
pSA_2.656087783000,0.22421414017271868,0.1121457234474181,0.5364933342295156,0.5219242047365754,0.48909472302973267,0.894116111731659
pSA_2.848035868000,0.20427978842826472,0.10894903237613053,0.519452262887389,0.5155349868383877,0.4746642750726948,0.872303358989046
pSA_3.000000000000,0.18538693414316768,0.10519902392310741,0.49814260227338975,0.5131743862360345,0.4651561450953359,0.8531496013058838
pSA_3.053855509000,0.17791110107016989,0.10321043766013643,0.48712610047045335,0.5103386683756768,0.46050603154615216,0.8424981894873098
pSA_3.274549163000,0.14978157482180374,0.09922182041546386,0.46761275731271096,0.4910789491098163,0.45992070126152435,0.8193578439908232
pSA_3.511191734000,0.137911301229938,0.09609219520846674,0.452014428876358,0.47638325443439666,0.45442675261532806,0.7985998513088014
pSA_3.764935807000,0.12434330929508762,0.09403846713135268,0.4428857296187974,0.4630047284050392,0.4480260793505322,0.7818238393676724
pSA_4.000000000000,0.11279552909679243,0.09173785113403468,0.4337083884709905,0.4407378082066093,0.4436483409476172,0.7610365511842665
pSA_4.037017259000,0.11000561687262807,0.09147265588281792,0.43257184349683675,0.43857623564935116,0.4439051969687397,0.7592887054068845
pSA_4.328761281000,0.10445025939368092,0.08964371450138153,0.4221702212840648,0.43795714322129325,0.4322555813698924,0.7462432865111861
pSA_4.641588834000,0.1170857376287499,0.08509577105045099,0.3953470481293796,0.4391191108047346,0.41145652466993243,0.7200148287584176
pSA_4.977023564000,0.12575466651396405,0.0786007279564801,0.35880922698686707,0.42904588756337464,0.39584352730317923,0.6852127648502907
pSA_5.000000000000,0.12559889785672573,0.07823736411226538,0.3567600637014121,0.42842294650302487,0.39527043668347306,0.6834198433309592
pSA_5.336699231000,0.12354797284024821,0.07383549994973887,0.3318116680759484,0.4183882296804484,0.3904865975611139,0.6615341840610646
pSA_5.722367659000,0.11460479468562015,0.07114569202790985,0.3145330459353651,0.4177278972126748,0.3801999180772856,0.6465134266208832
pSA_6.135907273000,0.10485482499529958,0.06878172706640687,0.29818908930100024,0.41987328405957103,0.37034091383140894,0.6343206603151218
pSA_6.579332247000,0.1069418242596524,0.06870136241328678,0.2959485214094063,0.42227709555132587,0.36663479486173467,0.6327120558002539
pSA_7.054802311000,0.11739940032815496,0.06941723308904386,0.30252226920877745,0.41423637746335407,0.36309331836658104,0.6284490891262757
pSA_7.500000000000,0.12099303896002672,0.07113603308964822,0.3144018230617645,0.40713368051653437,0.36117246444905565,0.6285315339994525
pSA_7.564633276000,0.12194337996106039,0.07131836170624051,0.31536469754363244,0.4060971498717256,0.360597955369244,0.6280132745469675
pSA_8.111308308000,0.12991820165504434,0.0700298080624413,0.31022602225322077,0.3916261060645868,0.35609395372215147,0.6135259535764078
pSA_8.697490026000,0.13132733399976743,0.06717699509369598,0.299478720629406,0.36492567172640905,0.35209243506299287,0.5889204808999128
pSA_9.326033469000,0.11423595383234991,0.06556270798679155,0.2958237575444695,0.33579644407645026,0.3447331964707712,0.564899923996342
pSA_10.000000000000,0.10120266242692555,0.06308330519030685,0.28459866872712264,0.3142863805510398,0.34288474999537416,0.545291007646847
EAS_0.050000000000,0.3427593554615268,0.059643480923190155,0.2672764144077928,0.14047668732033572,0.28445241988372905,0.41482955603101723
EAS_0.060000000000,0.23325119040927586,0.06058339853329261,0.2882417496531516,0.15163105926991532,0.2993599063142548,0.4423704758309556
EAS_0.070000000000,0.19529829705753196,0.0652660371017527,0.3057338517739965,0.22685575760423507,0.2798577640295285,0.472500889910657
EAS_0.080000000000,0.19781009288046625,0.06595622837059303,0.318855282128209,0.22030176873558424,0.30176399949188687,0.49118537400703016
EAS_0.090000000000,0.17049266813945746,0.06170240458409119,0.2974032437629343,0.214748153948715,0.31737768196208554,0.485071182438952
EAS_0.100000000000,0.20524280365809577,0.06643560043657105,0.3180992492201365,0.2527962255947785,0.3561675471458961,0.5403224830314808
EAS_0.107226722000,0.2136202316600493,0.07033596667232388,0.3359853986706078,0.27526980807300344,0.38858823545441773,0.5828039739826535
EAS_0.114975700000,0.23091295873457626,0.06850501891391035,0.320062667746738,0.3082569264636401,0.3850009527943034,0.5879525300995738
EAS_0.123284674000,0.22878980111644998,0.06973709334828591,0.32016173083668226,0.3413060361841848,0.39010318376562797,0.6092403780218277
EAS_0.132194115000,0.19858091719145518,0.07308608770435315,0.3271728687558093,0.3940867718576684,0.4144610541448469,0.658881199614894
EAS_0.141747416000,0.15949092272093068,0.07025423437169799,0.30068255742435995,0.4290359619285139,0.4154157383903667,0.6686195425423881
EAS_0.151991108000,0.11507450625460756,0.06654888080690263,0.2694530145570496,0.45126902867760166,0.40970798709659584,0.6664152594203197
EAS_0.162975084000,0.10792177497596434,0.0630431596527896,0.25128528088656527,0.4390552739001076,0.4072761568240709,0.6494518410529942
EAS_0.174752840000,0.1512258566565141,0.06421426842571039,0.26886751158053185,0.4139513061203223,0.41718415635693107,0.6462878947786911
EAS_0.187381742000,0.16831414259990088,0.0666122052800909,0.28398377994973656,0.41945542726679036,0.4212462241163219,0.6588156222118329
EAS_0.200923300000,0.15799583487838845,0.07211072885275255,0.3129708444971048,0.4440240630082336,0.42016030629890294,0.6867625506860131
EAS_0.215443469000,0.15874432101714325,0.08046732710555016,0.3607200925547444,0.459701775669542,0.4405877788495295,0.7318212203796739
EAS_0.231012970000,0.1477737738301117,0.0875978058426808,0.4064437243901812,0.4458053866498314,0.4772880305960342,0.7692482096257411
EAS_0.247707636000,0.15493032734629048,0.09216142213029714,0.4369317430291234,0.42903608039602387,0.4896100970571353,0.7840276484208633
EAS_0.265608778000,0.1968337353348638,0.0950086531726226,0.45000246189837945,0.4461644066316143,0.5076768823769037,0.8119733433798646
EAS_0.284803587000,0.23650043854502176,0.09870084555968428,0.46599697581294486,0.47096721291549337,0.5275289899572854,0.8469062122534889
EAS_0.305385551000,0.24404693570654037,0.09810627561025316,0.4569790290232127,0.49969769553298876,0.5172031020861501,0.8520719856300372
EAS_0.327454916000,0.29337068061453714,0.09876888058709843,0.45634062037909906,0.522748715667089,0.5000154756835326,0.8552943688944769
EAS_0.351119173000,0.3409676319456379,0.1050953511154996,0.4916978761569606,0.5341918640800742,0.5030587846458443,0.8832869804746157
EAS_0.376493581000,0.34982553362695407,0.11304601937612824,0.5358674716619158,0.5470015559287835,0.5134945448526153,0.9219768418822887
EAS_0.403701726000,0.3658356185141445,0.11912218461718277,0.5653474936573338,0.5753069761160728,0.5275890434462989,0.9638185016469799
EAS_0.432876128000,0.4133391938698803,0.12571570034108953,0.5980140307566344,0.6055061251146902,0.5241790352583393,0.9995109351765828
EAS_0.464158883000,0.49809535729684756,0.1283048762079864,0.606165389571456,0.6387172224854251,0.528089491198751,1.026778788507226
EAS_0.497702356000,0.5903277591453949,0.1299962132555043,0.6137893217160665,0.6453658449143586,0.5593770484248042,1.051730520399184
EAS_0.533669923000,0.6514348751514542,0.13224214882797386,0.6265935432437887,0.6461362839204726,0.5703245248906847,1.0655428801907263
EAS_0.572236766000,0.680424008400171,0.12636782037739402,0.5924200705858225,0.6456678151103545,0.5512720851818788,1.0352532923893873
EAS_0.613590727000,0.7198821124790987,0.12273250860467944,0.5728276587648625,0.6372816861185271,0.5437961856144423,1.0148762316641984
EAS_0.657933225000,0.7809381364836949,0.12793951158149366,0.599587740454789,0.6532125111329233,0.5685268043196063,1.053287601006545
EAS_0.705480231000,0.8294810772080704,0.12727661409857444,0.5829267371108945,0.7066545833143919,0.5708077347110833,1.079345056487493
EAS_0.756463328000,0.9065705231467137,0.12295741285579065,0.5428301340493218,0.7585347659645914,0.5537157070898903,1.0847306715895053
EAS_0.811130831000,0.9967248948068417,0.12305061705032971,0.5335066848612288,0.7936839601205596,0.5408495417832861,1.0986727621050152
EAS_0.869749003000,1.082935095091295,0.12434230900164443,0.5387101042397482,0.8031688958423108,0.5479154334579185,1.1115305546317364
EAS_0.932603347000,1.1812173043880891,0.127018498843024,0.5558604342016901,0.8016812735790468,0.561913733750982,1.125797819724387
EAS_1.000000000000,1.3293865832342553,0.12362215730083649,0.5339261697431416,0.8028979377448404,0.5537590738356091,1.1119223736514934
PGA,0.6657718315499264,0.12448986374550068,0.5798366338326989,0.653516294331342,0.5392089753782501,1.026664691133121
PGV,0.3440416222316709,0.11305826995277395,0.5339511809356718,0.5625515210642331,0.47555500154360797,0.9097915348954516
CAV,1.2084305755230549,0.11584542483857688,0.5008039607922492,0.7674469801018561,0.3524459382174819,0.9818338015054607
AI,1.9527332977780647,0.2392586844387449,1.0829454579449596,1.40688525304872,0.8355230768836069,1.9621915788563125
Ds575,0.743093847127291,0.07029439423507075,0.3311866624654572,0.30334897255186305,0.5514066156333697,0.7111641584806748
Ds595,0.7015677575429364,0.05962269938305363,0.2662216602310618,0.33506108682283314,0.4095099034981923,0.5923160181374295
