,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_1.000000000000,0.9051844658680591,0.11744787078358238,0.517183177627036,0.7273911779482286,0.5431913276263008,1.0448125111165798
pSA_1.072267222000,0.8375093372445118,0.11651161554175536,0.511481479162797,0.7265289299053278,0.5430010577830499,1.0413009835150713
pSA_1.149756995000,0.7842225618829868,0.11793238488992988,0.522187184896894,0.7209329508720979,0.5406481980370188,1.0415009600400613
pSA_1.232846739000,0.7026490686368173,0.11831090017929582,0.5310472707430773,0.6983669259797756,0.5332156422271452,1.0266676619928279
pSA_1.321941148000,0.6159231388230193,0.11707902583905072,0.5314072479162331,0.6682240913676825,0.5315894690941229,1.0057357819396906
pSA_1.417474163000,0.5625803119565028,0.11674916830647623,0.5384444065311798,0.6313210816447553,0.5351941077392842,0.9873810915814961
pSA_1.519911083000,0.5324242664805385,0.11660418530550924,0.5454517399335332,0.5983275245717151,0.5286058142021166,0.9669216793851081
pSA_1.629750835000,0.495722536740468,0.11661388830351559,0.5489913858121582,0.5834928239498299,0.5225403391025137,0.9565060497907325
pSA_1.747528400000,0.45946673965838447,0.11877652520561385,0.5639397593715292,0.5738369583812746,0.5191887652758072,0.9575353157941007
pSA_1.873817423000,0.4203675394074768,0.12135280205800636,0.5800476584683272,0.5699373694866195,0.5136320343182499,0.9618221030470345
pSA_2.000000000000,0.3799817518734604,0.12071279535626932,0.5765283251175688,0.5691880748685838,0.5103980813558974,0.9575312922757433
pSA_2.009233003000,0.3770816864143953,0.1204990845189994,0.5753012419758676,0.5690973812040488,0.5101632543618104,0.9566137644908291
pSA_2.154434690000,0.3373887674199712,0.1175350899644832,0.559182721258512,0.5635714255234168,0.5050308946880834,0.9409326607202115
pSA_2.310129700000,0.29471065732950924,0.1161942749796672,0.5543229228549691,0.5507656461418007,0.49188518451178725,0.9233459451985839
pSA_2.477076356000,0.25060713469393053,0.11367495728189717,0.5431016536519893,0.5348196720115328,0.4813983319054447,0.9015186308287774
pSA_2.656087783000,0.22060039815724863,0.10797072971228222,0.511525325338235,0.526321231608332,0.4740585591862969,0.8737297722075668
pSA_2.848035868000,0.19816614767558957,0.10428071000429524,0.4905648672155206,0.5249591320854512,0.4531673159169874,0.8494684193785537
pSA_3.000000000000,0.18237622288327393,0.10053095149330883,0.46934733648638544,0.5216296184327542,0.43944310078915155,0.8279460247651108
pSA_3.053855509000,0.17661441796281804,0.09883720377914781,0.460025577601912,0.5188351046938806,0.43317926962793146,0.8175926109903825
pSA_3.274549163000,0.1581911988437752,0.09467877339302976,0.43879860456402636,0.5041660170740139,0.4206574936271302,0.7897343319650417
pSA_3.511191734000,0.15903361448000775,0.09064799066604054,0.41886505283646686,0.48496868633144086,0.41171273622841614,0.7616757422830459
pSA_3.764935807000,0.15527934399160506,0.0873402320862322,0.40426601666900547,0.46284987565766933,0.40602539944901606,0.7365579709890305
pSA_4.000000000000,0.1528339235397154,0.0848668311280184,0.393886689617015,0.4408853919436174,0.4094184902314946,0.7191315270728744
pSA_4.037017259000,0.150563147920412,0.08455690040639632,0.3922874544220513,0.43955877511433783,0.4101038536956871,0.7178346150005609
pSA_4.328761281000,0.15089311883343556,0.08330549592208744,0.3844146101588445,0.4417061468666655,0.40183315146141046,0.7101751856385728
pSA_4.641588834000,0.16744221844631815,0.07949319171504791,0.36131618188617204,0.44230608772439733,0.3897057008691434,0.6914149201606615
pSA_4.977023564000,0.1712494914439759,0.07542583441374104,0.33997195853162787,0.4289711542821733,0.37816831893005237,0.6652882542450249
pSA_5.000000000000,0.17070018364701922,0.07522418101401149,0.33894526945647285,0.42822569030912183,0.37745758091385884,0.6638790273212336
pSA_5.336699231000,0.16451958111969114,0.07167880057152039,0.3183479342700399,0.4215031555707171,0.3702697448092193,0.6450658891393639
pSA_5.722367659000,0.1635118162944943,0.06799445650428222,0.2960774133428603,0.4144603332590085,0.36563406931849285,0.6269987840365943
pSA_6.135907273000,0.16136688004760766,0.06652278178495408,0.2858744416000767,0.4128830024664239,0.3669953926901311,0.6219985436812759
pSA_6.579332247000,0.15669918675330596,0.06622788644467584,0.28416386821710166,0.40893121398897075,0.36447572896239916,0.6171032318642254
pSA_7.054802311000,0.1579456591493375,0.06736269385006692,0.2939284233066471,0.39911113750892846,0.3626620996639379,0.614172139260532
pSA_7.500000000000,0.15979531912980757,0.06891779004567611,0.304687769957855,0.3928600049054513,0.3575364218030739,0.6123772640553758
pSA_7.564633276000,0.16187683071287498,0.06920591636247171,0.3060601432510157,0.39269235600836183,0.3574500841385085,0.6129034674439826
pSA_8.111308308000,0.17270773074646337,0.06828472484230508,0.3030455517316709,0.37899546658310107,0.35275794684013473,0.5999269448639247
pSA_8.697490026000,0.17621375202058773,0.06654961890331158,0.2979229611672714,0.3568153090694349,0.35006664846585267,0.5819122905946452
pSA_9.326033469000,0.15402470247302905,0.0660051011681447,0.29984145230599424,0.3301399268516584,0.348395923250583,0.5659301963671953
pSA_10.000000000000,0.14367425800994885,0.06473105335442202,0.2939897830849112,0.3164665240738234,0.3461008955380412,0.5535041854493199
EAS_0.050000000000,0.38469949706326273,0.06632250657856667,0.3004966722473819,0.16109489359745738,0.2760763042957984,0.4387116827354303
EAS_0.060000000000,0.24470084350593654,0.06543993210709863,0.3136140809011597,0.16429105921296785,0.29606679398936964,0.46152019498602864
EAS_0.070000000000,0.21080938560402326,0.06889643656449408,0.32431932409830927,0.23210074566950878,0.29519056891965517,0.4961766339752769
EAS_0.080000000000,0.2253894573310093,0.07074563446847149,0.3448757352965606,0.22137915648234008,0.3219916097436609,0.5211780890122778
EAS_0.090000000000,0.19898301120421735,0.0670858967632223,0.3268033221512574,0.22158013340884905,0.32387749236611135,0.5106807191895367
EAS_0.100000000000,0.2469897031162057,0.07058647038669234,0.34086942761560224,0.2600444211319498,0.3556214042486179,0.5570293087482903
EAS_0.107226722000,0.25679920269398043,0.07419590876761623,0.35661125712173447,0.2835216077730423,0.39399015665779646,0.6023158094582854
EAS_0.114975700000,0.27106631619126786,0.07184357061947136,0.3364642953593313,0.32226801458945953,0.39291547607026994,0.6094649018726266
EAS_0.123284674000,0.259953520175004,0.06996860036145872,0.3185159030494474,0.3525347663183518,0.3947222451605316,0.6176882650521303
EAS_0.132194115000,0.2197488136721137,0.0721247898549359,0.3209665659193515,0.3946856955259079,0.4148960726240379,0.656456461442556
EAS_0.141747416000,0.18190710375488878,0.0690340124124085,0.293881144529246,0.4230704556105671,0.4281771172343981,0.6698435498260111
EAS_0.151991108000,0.15695967820255433,0.06619273720479961,0.2699374436943794,0.4408507133723059,0.42400115197076343,0.6685750158820337
EAS_0.162975084000,0.16496824756131753,0.06055343835208861,0.23978786468268143,0.422140311770757,0.41404513138102544,0.6380705554179118
EAS_0.174752840000,0.19618135771450182,0.06419428045492671,0.27362198355865786,0.40047358468014965,0.40670709519452536,0.6329761000185649
EAS_0.187381742000,0.20407879109592106,0.07007765550037555,0.30992773630918585,0.40869886568594,0.41108097245242875,0.6573260457787633
EAS_0.200923300000,0.2013169351465544,0.07433765417040572,0.32997953559479815,0.435374152046932,0.4123020335009148,0.6844195445857264
EAS_0.215443469000,0.2135303861351278,0.07941442240474751,0.3549688203300287,0.4593875514749733,0.4234226996994673,0.7185586743456992
EAS_0.231012970000,0.21342501804571987,0.08432045076409606,0.38854629396383755,0.44320054264743824,0.4448113448034324,0.7384118606996062
EAS_0.247707636000,0.23068832753016913,0.0870140515836364,0.40874258999480717,0.42309533934286975,0.46197005288904025,0.747994987159422
EAS_0.265608778000,0.2536540238104127,0.08920079934005587,0.41774527092973956,0.4404377865614933,0.48124460107780304,0.7746566473489289
EAS_0.284803587000,0.24271489512737945,0.09194704700817086,0.42463575078419014,0.48257834692855545,0.4843961728425548,0.8048832424848118
EAS_0.305385551000,0.2326060015419684,0.09165369523705555,0.4141848140880009,0.5193979386811552,0.4851875816968805,0.8226361701020761
EAS_0.327454916000,0.2758234520752208,0.09442621025812542,0.4259015977131757,0.5415670929399569,0.47843187322938774,0.8387992277129567
EAS_0.351119173000,0.3203826312826918,0.0997230997039561,0.4579133569557919,0.5414782257751701,0.49390878242686137,0.8641928007253551
