,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
event_1,0.08338492892333796,0.08321508930010277,0.08305302390708609,0.08180526829093179,0.08062529924237267,0.07976800070802828,0.07806104252864993,0.07698998307174332,0.07681896657320707,0.07630467057164035,0.07593572892853577,0.0758980376319076,0.07537940887100791,0.07358797985327764,0.07186760427233721,0.0708406809132552,0.06886979466440751,0.06717209857138562,0.06635028105167291,0.0643415795342851,0.06258628230785467,0.061066361904520715,0.06053090052513848,0.060535364813802124,0.05970912499850013,0.058216421146026875,0.05632300824895152,0.05621239509917856,0.05498660924409985,0.053977132167855685,0.053919400667914515,0.0536247866482217,0.053684010543764815,0.05332898696179346,0.053377999651267674,0.053333937684869305,0.05232830282594139,0.05149342010690586,0.05087232801666801,0.048261299066575385,0.045137199474080646,0.04566689193042491,0.04670866525297615,0.045777065741959375,0.05026841852637224,0.055228431055641104,0.056124698482413866,0.05701573765492869,0.05938006487257606,0.060802655660590024,0.05983933957476266,0.05738662720366023,0.0570797433908354,0.05843344094913573,0.0596648794140603,0.06192843711907897,0.06404711925149867,0.06534542698177044,0.06793099434667942,0.06969309153980856,0.07072460858554494,0.07095879015404732,0.07296923107143079,0.07410452251728425,0.0757827838629811,0.07662402301371397,0.077978461706606,0.08059011060249152,0.08189894428808578,0.08000265652908,0.07827273579721829,0.07908457942348573,0.08215037093434126,0.0838776716918046,0.08452418943052234,0.08539383726281455,0.08605148665929623,0.0857021575997105,0.0779363431083584,0.06830141210042744,0.06609520395382117,0.13984209815500626,0.07065626211806492,0.05617888721414576
event_2,0.09491740243079477,0.09474753248789014,0.09454309258410618,0.09319166225401448,0.09210725562187261,0.09220283315365112,0.09048324579954732,0.08931705913291034,0.08944855164864864,0.08879312545934331,0.08833128823029482,0.08828665607839498,0.08730329507860443,0.08519446576934442,0.08325166921220223,0.08172996027440853,0.07885421867315227,0.07679548042123899,0.07581512255553201,0.07352886631052578,0.07161257225647123,0.07004672290467248,0.06970438529706184,0.06973389660429283,0.06920444247653075,0.06735565153141153,0.06624269953639907,0.06611279591594109,0.06467301919660233,0.06406143578270218,0.06402856813751077,0.06479156648113214,0.065752726982407,0.06525359750742617,0.06529837708676486,0.06635932938775503,0.06763819458676089,0.07148952066833468,0.07672841022163886,0.11887603179552368,0.09821701664567356,0.08768634411811109,0.07922808035338999,0.07406258694351078,0.07808145242236943,0.07895973282042552,0.07400875744657139,0.0720567424306153,0.07354535394481285,0.07517625787713036,0.07282094117894963,0.06872095525172281,0.0684699250262867,0.06942213588653029,0.0705992114103333,0.07192924328898416,0.0747562476643419,0.07602935978631001,0.07904944029367518,0.08069214367630549,0.08156512665908776,0.08153018922701889,0.08396875179034649,0.08575547843045157,0.08819058658149834,0.0887337375401573,0.08985749862536059,0.09356693921913366,0.09527902969260921,0.09317008091242765,0.09084797721016402,0.09147890701769021,0.09471657965036996,0.09559199912495932,0.09580995342280405,0.09664058671413374,0.09767666190505632,0.09724133926923227,0.08757853281927203,0.07694852829264233,0.07131423738119831,0.1536295688025432,0.08259523625161772,0.06482033618305057
event_3,0.09774607889245349,0.09757524411333558,0.09736187829398536,0.09598479021171206,0.09491826146347665,0.09440018774276929,0.09421062163632606,0.093014702070595,0.09245310494677902,0.09176715590722852,0.09128263988728472,0.09123629133198459,0.09022174743003115,0.08880931254641403,0.08679659380465009,0.08521575516591916,0.08215738631640107,0.07998196118734371,0.0789498292510666,0.07657014947561312,0.07459828557552302,0.07300370874236312,0.07336250247993804,0.07339746883040796,0.0722440625114965,0.0709147337328538,0.06864033625622853,0.0685056822841107,0.06700754834946487,0.06646208217138072,0.06706561903428183,0.06667672262242963,0.06850975869716386,0.06797953036687496,0.06802463564704193,0.06709934371786215,0.06932851479635271,0.070525079160044,0.07196996682433432,0.09752332742743366,0.08368644552972256,0.07983992315033515,0.07259278446229776,0.06989226788758354,0.0729671027731507,0.07782001538718535,0.07596480506353473,0.07290109385348807,0.07674941138716063,0.0784145216022205,0.07497953632338772,0.07205613259542318,0.07114199913813563,0.07204377390867465,0.0732230805846321,0.07580396805877909,0.07816212291797767,0.08025112252884177,0.08266577742929596,0.08429019164636835,0.0851166778358213,0.08500633030312825,0.08758507951994825,0.08947200474976591,0.09203758491358763,0.09250262199051229,0.09277384172734704,0.09665769185095564,0.09846438490137757,0.09630052265150797,0.0946154618677697,0.09520301296270477,0.0969406842143352,0.09846214538852598,0.09858583799653482,0.09940943557565142,0.10053073708520342,0.10007597409066651,0.09138784563808587,0.0803597421002835,0.07344229406924714,0.15917385620898067,0.08713781171481952,0.06815018004547282
event_4,0.1046201704165954,0.10444546917373895,0.10421365003696757,0.10277654009636157,0.1017518003615514,0.10137668082805255,0.0996348100031919,0.0983960624923091,0.09782059981372983,0.09708206223829009,0.09656023705130695,0.09651077566063664,0.09543909472689245,0.09312175089103975,0.09102952179704656,0.08938649151728222,0.08610918059357994,0.08378971912849108,0.08269426729439208,0.08021099679518144,0.07816029674186356,0.07653628125281133,0.0771237212993545,0.07717161664006102,0.07594174792718396,0.0754094761687234,0.07299408768317282,0.07285074529295128,0.07206391182803655,0.07077829622166748,0.07075924256737436,0.07198267172423868,0.07277935438808229,0.07422075671674407,0.07426738706282802,0.07926485154861576,0.08670422143352353,0.09515990570382267,0.10453662462446255,,0.15480288244561746,0.15598513685766807,0.1383275578838389,0.1196389901830278,0.1078929106803783,0.10661101888782865,0.09586706819221696,0.08669205479818749,0.08403600359200752,0.08340586969782193,0.08103382121150908,0.07608282988588788,0.07592776498780186,0.07769530490894787,0.07797385202431428,0.08068323913815509,0.08229184437730824,0.08458104063600473,0.08696890436115175,0.08856803617374655,0.08935266039927003,0.08914747008432733,0.0919016711386372,0.09391346019298102,0.09662518700104046,0.09699740515261622,0.0979916653713776,0.10218458898250579,0.10415599603784516,0.10189142810124355,0.10009444617567605,0.10062417222504949,0.10400090811085241,0.1054333095679347,0.10533174250705232,0.10613828560780682,0.10745900019941379,0.10695995507788257,0.09784939369453889,0.08614583024969018,0.0771055265568747,0.16865509651733657,0.09473033324070887,0.07373540615988097
event_5,0.09249076216578175,0.09232070497967067,0.09212626582846302,0.09079902677591115,0.08969926997421843,0.08907046848430275,0.08735981341962687,0.08621846445871875,0.08567901687962858,0.08506539147798628,0.08463087680091644,0.08458826971942533,0.08364329882095925,0.08334509644998071,0.08144056366818118,0.07994986772035514,0.07716651249944374,0.07516704889176955,0.07421281442058635,0.07197661857900141,0.07008808133682391,0.06902298551438857,0.06867351471100087,0.06870220819486386,0.06767137198704384,0.06588349707189894,0.06377171006552503,0.06364664359008357,0.06227020094297714,0.06114991500157361,0.06112505323070691,0.0612224233729805,0.06201450410283752,0.061544786491604185,0.06159071576348909,0.061178905561954586,0.060720477212882006,0.06102778278764567,0.06104786785473183,0.07059653321966072,0.06059651028349344,0.05613647639079732,0.05626118823153203,0.05560949697670113,0.06120910241877651,0.06657945445846872,0.06593812542360078,0.06608581862897822,0.06914767707341019,0.0707442946352526,0.06869741395208503,0.06549419968104818,0.06519840988107307,0.06670279365774437,0.06788104927449876,0.07031969392778899,0.07302962111879391,0.074833194724652,0.07778894834412194,0.07884225254773486,0.07973754873563088,0.07974153541865873,0.08211079402975151,0.08385208467500539,0.08621936828184518,0.08680368296825891,0.0862026707384291,0.08968856276064166,0.09128410159702267,0.08923964233152049,0.08768644790086566,0.08835913480623332,0.09154604030829383,0.09312772472344254,0.09342604801762122,0.09426133820023487,0.09522049569348559,0.09480387695791463,0.0864699781924576,0.07595845249476589,0.07069399054930295,0.15201870662675898,0.08125784924663783,0.06384115612508286
event_6,0.08843506583769936,0.08826544119153648,0.08808507771311855,0.08679388333908636,0.08566163783592409,0.08540751172099467,0.08370117264064615,0.08258955966352474,0.08206214880587082,0.08148822033792824,0.08154961285513812,0.08150875628909274,0.08059562286148556,0.0786652481633167,0.0772848789690532,0.0758566416723412,0.07329521571953866,0.07143481134715066,0.07054200075266345,0.0684131178767077,0.06658820562602293,0.06504570542635357,0.06460201475189208,0.06461938495836225,0.06406879604643924,0.06240826028139254,0.06039080212498238,0.06027228443803345,0.05895822288108459,0.057882888164784596,0.057840102940711506,0.05824007554107206,0.05806193769587048,0.057643271705725814,0.05769153349342552,0.058784526435114386,0.06006124846876184,0.060369235654376144,0.06204205855983097,0.09776062217890856,0.08668778778622606,0.06654903204732505,0.0674977174914697,0.06430810269193461,0.062353683309253886,0.06585015837053095,0.06521665611938499,0.06334820828094387,0.0645356644190378,0.06604718824532044,0.06523246398651027,0.06181082762123386,0.061520417276032774,0.06296076064630757,0.06416128607093793,0.06652239100737388,0.06897763485313284,0.07010817310474513,0.07288648874349073,0.07459150429101234,0.07554449318282766,0.07564878589556569,0.0778525724691748,0.0794766489316323,0.08169606457790174,0.08192174069531964,0.08316569480693421,0.08646328101566207,0.08745194799584541,0.0854693170050379,0.08398582658199492,0.08470799126668206,0.08784403893347602,0.08900919797165806,0.0894561357623403,0.09030492229915009,0.09113336297499257,0.090746213167581,0.0826690541301019,0.07255044021557973,0.06861988809521297,0.1465576155253785,0.07659800752897727,0.06045878828096324
event_7,0.084794650217496,0.08462471046825816,0.08445808080182565,0.0831992129054423,0.08203386563908074,0.08121592554951619,0.07951163081500763,0.07843032293904657,0.07791518013155535,0.07738900020611608,0.07701153855886382,0.07697320473147087,0.07610537100976708,0.07429398038635764,0.07256073542893152,0.07120854640252133,0.06922455695842912,0.06751367614907816,0.06668612080198053,0.06466809007659689,0.06290652639680844,0.06137970832400934,0.06116155167604011,0.06116693488871449,0.06032567943817552,0.058812271954679245,0.05690972208974727,0.05679797093229921,0.05556090364368776,0.0545310322510024,0.054475492538752036,0.05417773670111427,0.05399631589968305,0.0536370616326033,0.05368551344159745,0.05366461726236195,0.05265308056719327,0.05209756887216258,0.05148448688910962,0.048270596923678015,0.044755308935359596,0.04538151867818127,0.046745565750815225,0.046394910207743056,0.05093141910673698,0.055956289364609633,0.05650214067257458,0.05739359801960804,0.059741864672960866,0.06117300865448741,0.060484011476562106,0.058012366503764484,0.05770753337715629,0.059084648093075724,0.06031169892001575,0.06258027929266761,0.06474328841949946,0.06608070315709445,0.06832023402047167,0.07008294308192221,0.07110757141992113,0.07133117107421146,0.07335781334441363,0.07449700923897816,0.0765389253894308,0.07736000169541532,0.07869860480889083,0.0817138133401764,0.08305984835969496,0.08114493160110507,0.07974142672372313,0.08053005390900266,0.0836107186132987,0.0853101807217548,0.08589821151707591,0.08676082308335799,0.08746649404009499,0.08710699124900614,0.07926030094890464,0.06949154082174289,0.06679372899782704,0.1417111187479144,0.07232634331466566,0.057380116493861495
event_8,0.09088986888572123,0.09072011131609879,0.09053091730255253,0.08921744246937542,0.08810472980985516,0.08743786444003707,0.08572890310677368,0.08513867241424185,0.08460286520635647,0.08400079073027751,0.0835733421939502,0.0835313506293605,0.08259666962137358,0.08061455018098132,0.07876122255605604,0.07731273084142705,0.07515063631677212,0.07322426952330047,0.07230231217107752,0.07012244264169946,0.06826625898481747,0.06715112876197374,0.06676274521960593,0.06678668175993004,0.06580593599068077,0.0640892293434236,0.06240259327958215,0.06228015885287378,0.06092629536610168,0.06021652350313266,0.06017594987998202,0.05983689345042657,0.05966582880577098,0.05923965967690602,0.05970804765907906,0.05926377535406299,0.05829880004568531,0.05845467936048945,0.0593093476832169,0.06552206945778485,0.06043500380200424,0.057264843735810346,0.058745053889870814,0.05674097833086387,0.059387799259365597,0.06354072551633268,0.06312985707236277,0.0638935226188726,0.06692746051771867,0.06795766396428599,0.06708747011128532,0.0644286735152406,0.06415353194816736,0.0651886467226703,0.06637624892824176,0.06835925373196462,0.07093067234298492,0.07261606815563972,0.07548310434640165,0.07662977444742475,0.0775571708116832,0.07761295852462596,0.07989461340434684,0.08103370721345281,0.08330332684182365,0.0839554951474752,0.08516041317166968,0.08858228887762414,0.09014391024197635,0.08811811451421162,0.08658582179482185,0.08673165744597572,0.08989627367583813,0.09150212618299135,0.09185933578770837,0.09270029141053528,0.09360830635237882,0.09320306027491851,0.08496822777477381,0.07461158846096166,0.06987300843235654,0.14985877541580456,0.07941582323369888,0.06250597003315783
event_9,0.09140754335928689,0.09123746560722554,0.09104718045104676,0.09027006041449814,0.08916623673143005,0.0885262798096466,0.08681657319088905,0.0856812594013731,0.08514417472721636,0.08453684104882622,0.08410660460484908,0.08406427690803453,0.08312442357367204,0.08112723562318082,0.07926472047320554,0.07780731950132212,0.07514040955124626,0.07321356272752648,0.07229126857050683,0.07011149124484159,0.0682561534223567,0.06670209595378182,0.06630386704855273,0.0667755293392987,0.06622575215122342,0.06449308010275534,0.06242061814817968,0.062298143876371226,0.06094180125655434,0.059835714838116866,0.060191130929442664,0.05985361610713501,0.06010874609805593,0.05966876336270907,0.05971661873949152,0.059308256688913326,0.05968637479017783,0.060432973866641905,0.060930920724432805,0.06864620076333056,0.06623638892300979,0.0604870555810096,0.06024577705771625,0.05804330272167939,0.06113622003264103,0.06590390750121099,0.06474537960629839,0.06393357695706986,0.06693485671337608,0.06848069406027034,0.06710307193390419,0.06444132425549785,0.06371829695757145,0.06520212418949217,0.06639343440378115,0.06879906546631595,0.07140432259669746,0.0726044714480403,0.07492954698387862,0.076617222021099,0.07754191025407371,0.07759779991772875,0.0798810292163992,0.08156117131634989,0.0838506265644257,0.08448960626556858,0.0856854943423912,0.08913916852227721,0.09071753590083186,0.08868172208826938,0.087137973539775,0.08781697097877546,0.09099574257885466,0.09258303928632487,0.09290041506233063,0.09320256577489726,0.0941267645211862,0.09371831099101835,0.08545723729905728,0.07505116459266274,0.07013787528412997,0.15056005740088726,0.08001440464345794,0.06293939479299047
event_10,0.09436554207197374,0.09420251245369385,0.09398308034685196,0.09261470452349382,0.09151607021205307,0.09091283975097483,0.08917963047595856,0.08801406955785124,0.08745412942599258,0.08680393954534234,0.08635817867842384,0.08631535856172239,0.08602929534333269,0.08395409668937544,0.0827051682017787,0.08188206672780998,0.0790040707390248,0.07694619173525373,0.07596693548591125,0.07430088505099314,0.0729879975507476,0.07201767342013583,0.07237883172158968,0.073127134675856,0.07270186870702652,0.07147453085720577,0.07222351325957034,0.07208235723039745,0.07051468156175543,0.07002798223099214,0.07002156929513187,0.07132591250676512,0.07198779895649861,0.07236232039308794,0.07241127469965998,0.07223448308244872,0.07446335523320483,0.07757321370900942,0.078070868469988,0.12105725179609512,0.09928727406650585,0.08615753718027273,0.0845156155808717,0.0764080155900503,0.07918747915441537,0.08565031904293811,0.08163092965666398,0.07860756742145877,0.08178509500916666,0.08247873171637593,0.08034355683051049,0.07538322114200992,0.07509684533552723,0.07594244384051298,0.07714828557113194,0.07644415002346806,0.07867624756276102,0.0799141736055242,0.08146200718056601,0.08237925067795054,0.08254404495605788,0.08177750455644758,0.08419853328667394,0.08595126042037572,0.08762550748214716,0.0874548695316867,0.08859512256890073,0.09152491498693785,0.0931614938403219,0.09110641690466594,0.08954670735885514,0.09018028082754945,0.09342681076655873,0.09504027701836859,0.09530159280311487,0.09615200426516363,0.0971895589920592,0.09674403419557977,0.08813004548585418,0.07742312034908692,0.07161688148770334,0.15438793833247155,0.08337721526197076,0.06539632928214952
