,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
event_1,0.08550487479646304,0.08624307858135627,0.08581491073554405,0.08482814659129635,0.08421451480353058,0.08365720174309328,0.0825432456607322,0.08133010901654093,0.08159920862113158,0.08082360892964907,0.0791489895304571,0.07905222346064385,0.0779776648533827,0.07620437797758049,0.07426198898210443,0.07243975030816663,0.07091332338667448,0.06966463878701847,0.0690164746429907,0.06797327350715418,0.06677438090570653,0.06562135913976631,0.06440718206528,0.06433451125006232,0.06305104650049942,0.060882533301659485,0.05844837800546159,0.058330471533516504,0.05701039778349087,0.056048654043670515,0.054910928022870724,0.05458444793826079,0.05443118189348979,0.05434690178166601,0.05430730081600115,0.05427038743559718,0.05288462440613294,0.05134778196961233,0.050348321045110764,0.047933657588900676,0.04475673127844936,0.04372149879063397,0.04419785588372319,0.044626192729059634,0.05029964121882206,0.05458695822495176,0.054978151203321994,0.05660809310555882,0.059643051208207905,0.05982893493476441,0.05832200153457074,0.0571751756743339,0.05844363500525486,0.059106121278103746,0.06078569603832627,0.06428620047608587,0.06776102507041248,0.06892588355410305,0.0713733208654447,0.07386766808385702,0.07352304628858854,0.07284033220182522,0.07430193781935582,0.07620289249288303,0.07868718402147404,0.0798937575381868,0.08121543178840784,0.08391467320514509,0.08476380496689927,0.08302094772199874,0.08164231879516518,0.08459569245154855,0.08637879533408342,0.08569896043773756,0.08571455230603008,0.08716555884055405,0.08867373895137629,0.08730087069015256,0.08153132305686728,0.07187585809407401,0.06890145405237762,0.1447465277255425,0.06834850178995149,0.05399673952498305
event_2,0.09746377329919201,0.09834926020317628,0.09778288563730576,0.09673344443999349,0.09629117161561512,0.09671682249412701,0.09582286230601818,0.09439032564640402,0.0950040141849572,0.09404715416119437,0.09201574502557217,0.09189159747472375,0.09006389016209738,0.08819556204548754,0.08618784759935731,0.08376801039446446,0.08152004245194232,0.0800087604806975,0.07924901570946255,0.07823095598027903,0.07697248472944654,0.07573241490611325,0.07453072041305377,0.07447303375971812,0.07345587749585213,0.07072482927807504,0.06896445498241356,0.06882681563705621,0.06730187963470846,0.06663249301164251,0.06512284047489778,0.0657295486097555,0.06639375256684758,0.06629647083666887,0.0662378025230962,0.06733577555435243,0.06819534935445158,0.07102769030911978,0.07580751704801618,0.11793327466598136,0.09750362008749865,0.08368035580600763,0.07433199248953007,0.07195148970971972,0.07808588512249852,0.07800916892649148,0.07259588188596666,0.0716605113464873,0.07379455984802936,0.07356183956996579,0.07054465529822955,0.06815942005014877,0.07006201368232436,0.07023514307591537,0.0720158746946985,0.07494535661884938,0.07941573748847394,0.08039429264457974,0.08327916363621182,0.08601528363397275,0.08523672912266848,0.08404749771868841,0.08561037781370331,0.08818903074341643,0.09130404382503582,0.09226142870014598,0.09340015292795074,0.09733936524236864,0.09840900694908741,0.09625735784945848,0.09442539814268945,0.09793386007803964,0.09947586030163558,0.09735513510841994,0.09692110945234535,0.09854317303345828,0.10040347361887167,0.09880944922499911,0.09201854910203643,0.08121908325657236,0.0743888434497647,0.15926514581718432,0.08018090220450046,0.06243212404345725
event_3,0.10039519641248458,0.10131591891612858,0.1007176505725666,0.09965225517468104,0.09924646188633456,0.09902498433653883,0.09980419306394225,0.09830709892770247,0.09819231683120869,0.09719549825484285,0.09507996669042233,0.09494953674765302,0.09302802480158859,0.0919310904757465,0.08989659278423978,0.08738972850539646,0.08502010341886361,0.08342350710012092,0.08262659330379185,0.08160898550185576,0.08032737667688958,0.07904805783215249,0.07855722719770339,0.07850103065179051,0.07677770767116186,0.07455221675680854,0.07150308037143549,0.07136032215045415,0.06977766966855793,0.0691528283604636,0.06819832675250934,0.06761839868901823,0.06913714111034303,0.06903558484605632,0.06897374776211314,0.06807995026522065,0.06988807909715115,0.07007752414247163,0.0711245508803035,0.0973158084717538,0.08321214789122461,0.07621238328626022,0.06817110857137056,0.06793249711094336,0.07299496068525609,0.07688708588996124,0.07451795289744018,0.07250543952020351,0.07700189874764198,0.07667805413666055,0.07259009347588065,0.07141719659385899,0.07278370312613049,0.07287781049911794,0.07470099592135857,0.07906156557921516,0.0831101999802263,0.08491978480018159,0.08714623480235334,0.08997416501147015,0.0890635247907003,0.08772260958001746,0.08932829951501554,0.09201655429505629,0.09522598644078901,0.09612046676941437,0.09639751526574093,0.10053990286114747,0.10166210190638764,0.0994139510712242,0.0982674225175266,0.10194104710093317,0.10179680699450833,0.10021930157075329,0.09968433134078483,0.10134907847747798,0.1032933321512256,0.1016444825974564,0.09614744604856308,0.08489618763062033,0.07662543046777023,0.16509732153421233,0.08464507427751694,0.06565897342502526
event_4,0.10752100162709069,0.10852728764537567,0.10785296006680219,0.1067503384847493,0.1064316084392728,0.10635588279530002,0.10559728447350161,0.10400729508517438,0.1038874717487836,0.10282131528823817,0.10055963697233967,0.10041808274957537,0.09833001165519138,0.09638775861138381,0.09432368066790303,0.0917216888116894,0.08920447960412395,0.08750061466040396,0.08665734786448327,0.0856464347457541,0.0843238448530093,0.08300405865768781,0.08269128900229895,0.08264435573873541,0.08081231759899742,0.0793828876412174,0.07611052188714286,0.07595821740153137,0.07513486861739117,0.07368534058390759,0.0719417963242325,0.07293928900293942,0.07339305847407472,0.07531678877182228,0.0752481547060109,0.08032960471044749,0.08731396430149112,0.09438719090191486,0.10314583744489829,,0.15155571272130594,0.14879471202183703,0.12922376152461942,0.11543089520531309,0.10754589375852266,0.10512216203878809,0.09402724823560822,0.08630269243656834,0.08430155569257212,0.0814957245090654,0.07833591125854948,0.07536155074582426,0.07765544678209785,0.07856288348614163,0.07955549103442278,0.08423580347383904,0.08758205227990346,0.08955729908936348,0.0917464185056538,0.09467763783059298,0.09362492064830523,0.09209789316778909,0.09376688470765464,0.09659274254704701,0.09990645586763117,0.10072637782356934,0.1017636227246491,0.10626481541623058,0.1074768927039719,0.10505611996191529,0.10386142777409461,0.10777532833878614,0.10916854679108622,0.10718334583138316,0.10640777762820182,0.10817788040198355,0.1103261133601484,0.10854042339386999,0.10314117632203869,0.09112713363094743,0.08047659009019463,0.17506886732647559,0.09207540450924297,0.07104272350486691
event_5,0.09495128069934312,0.09580672965533465,0.0952683876863154,0.09423417225610389,0.09376052531072154,0.09342823315335301,0.09248662754832315,0.09110820426580966,0.09100256156426552,0.09009958303025715,0.08817351654473053,0.0880573298569729,0.08634988205375274,0.08628462961319316,0.08429211119640365,0.08191823911559394,0.07973065109460296,0.07826231764341417,0.07752088605536116,0.07650327682612752,0.07525586731245287,0.0745835431611864,0.07339516232158035,0.07333788867259629,0.07177788724875715,0.0691402490155277,0.06634529354475803,0.06621269587408435,0.06474928292463246,0.06357580049504778,0.06218673064818165,0.06216193079496942,0.06268541580527946,0.06257757138559152,0.06252460494664144,0.06213604028679462,0.06127503538656189,0.060725596310592975,0.060372685813212354,0.07051206937241158,0.06024701952880688,0.05367158584479031,0.0530471709606825,0.05414988266905512,0.06126020500173934,0.06580582911912249,0.06465231273104481,0.0656824429944895,0.06939764637560425,0.06931990347352734,0.06665281022273395,0.06502357924132303,0.06672749726033816,0.06748670765018412,0.06922761783504906,0.07323100461967015,0.07753807179724584,0.07911096573044371,0.08193140773571482,0.08397779592474632,0.08326782607650286,0.08215593206246319,0.08370233517111815,0.08623188455338462,0.08929756565277033,0.09028857726174398,0.08964913657504889,0.09332609417469734,0.09433134739731873,0.09229866290552387,0.09120717879848578,0.09457868891575454,0.0961704991893509,0.09489974551796575,0.09455287161591644,0.09613928815449319,0.09792862291033662,0.0963784772644029,0.09081658147333828,0.08015134798834876,0.07373909026551205,0.15757370047814137,0.07886036331384862,0.06147437373614616
event_6,0.09074546867096606,0.0915492560700813,0.09105896139312822,0.0900465924747503,0.08951380952566762,0.0895806622253901,0.08857579161286086,0.08726353753558681,0.08716393435739839,0.08631210544804972,0.08497513503857765,0.08486572684193036,0.0832599397158053,0.08144937091628607,0.07994071440529091,0.07766231777797243,0.07562179972791043,0.07425470499553308,0.07355679416743609,0.07253138122510559,0.07130864469703127,0.07011290935629351,0.06890914806826776,0.06884507501661638,0.06783748422674318,0.06540426034375055,0.06276649650242884,0.06264054569222868,0.06123705978445457,0.060151610910373667,0.05886884134032226,0.059182676690388514,0.05876238322171459,0.05866416906459803,0.05861862150699523,0.05973117332919475,0.06061127169588852,0.06007214973969045,0.061346315783689626,0.09750934971363337,0.08617498691440925,0.06356437569403357,0.06344301378027103,0.06254573314919912,0.06240093162778208,0.06508355493890945,0.0639432799039717,0.0629471656746892,0.06478978010897356,0.06482341307895441,0.06338050295324012,0.06144698055707315,0.06297271115225654,0.06369403327229047,0.06540759172171957,0.06919039103292726,0.07313564301501337,0.07404339169901317,0.07668538437640397,0.07928952688851965,0.07874235897920988,0.07782137534344909,0.07932533540250715,0.08173004873511765,0.08469421937111483,0.08529938087881374,0.08653288173318777,0.08998883872560129,0.09042263917390686,0.08850729465170769,0.08744295287337062,0.09064918477880413,0.09231084062450018,0.09079915441176536,0.09060837896817221,0.09213425155837207,0.09380000032276548,0.09232846372587303,0.08668641119043907,0.07647140941896116,0.0715579902765564,0.15182378972485572,0.07425130571266697,0.05818033712823535
event_7,0.08696905915371274,0.08772584923454967,0.0872801248080437,0.08628708000688759,0.08569728521044463,0.0851786216591231,0.08409554795786177,0.08285655490454472,0.08276224568388116,0.0819713656930401,0.08026510764927823,0.08016587624952969,0.07871240921998625,0.07693364858576325,0.0749889487290263,0.07282317343654966,0.07129118868119314,0.0700328581845245,0.0693806001042832,0.0683389285359671,0.0671374243369884,0.06597571916909097,0.06510485373012728,0.06503222888390242,0.06372824632436938,0.06152529569958816,0.059070175288434106,0.05895111342406597,0.0576203021937057,0.05663047016809882,0.055472503977733546,0.05513570394528,0.054741527580450165,0.05465619868207679,0.05461560884950097,0.054602568077932546,0.053209475095778905,0.05194070771780895,0.05095071307181911,0.04794272675365895,0.044373704253698396,0.04345073701897211,0.044233055367300246,0.045223290856351274,0.05096297678777091,0.05530541431111969,0.05534938821077863,0.05698578227319053,0.060004582516148874,0.06018421696145146,0.058927285697174876,0.05778020200270158,0.05908389779511849,0.05976630154481758,0.06145026772635565,0.06498140607517616,0.06851938366909519,0.06971568256090832,0.07179099082348007,0.07429952359136376,0.07393898877624407,0.07323660270592335,0.07470276533250106,0.07660795316733608,0.07945534093807284,0.08064497665657162,0.08195424071882577,0.08507707106113681,0.08594632896036589,0.08416621036450579,0.08313315569675317,0.08615260761418028,0.08790050278399755,0.08712220746390605,0.08707817679129472,0.08855018067191152,0.09010331906760902,0.08870184441538752,0.08297473248995803,0.07316372603050365,0.06963739177685446,0.14671810155405912,0.0700076296145786,0.05516997889780774
event_8,0.09329076436506256,0.09412577392104671,0.09360634154835511,0.09258035870839254,0.09208323254073648,0.09171314755966468,0.09074314976886498,0.08996411703702253,0.08986059627038878,0.08897254618715171,0.0870759269194067,0.08696208181896783,0.08528891837406012,0.08346336552796889,0.08148646795906198,0.07917581085008374,0.07759066434616729,0.0761757849175313,0.07545736375829867,0.07443615198216816,0.07320073673977516,0.07247996145659756,0.07128942621274155,0.07122952202459355,0.06973645375116908,0.06720979647048568,0.06489823103164766,0.06476825799284125,0.06332654325190926,0.06260065009588944,0.06122855311522948,0.06077677753649025,0.060352468519885655,0.060264466172950296,0.06063746974942739,0.06021282744152643,0.058851319994856786,0.05819160178285872,0.058656417124835,0.06545424386829425,0.0601063743009026,0.054736684255917524,0.05533456090814415,0.05523697064490032,0.05943404998342292,0.06280327357230701,0.06188601518974735,0.06349165278307267,0.0671790143093417,0.0666490752520959,0.06512776454153393,0.06398490814105931,0.06565860933565582,0.06595010474806096,0.06768163583262926,0.07114405785783054,0.07525663925470899,0.07673265898849475,0.07946379509532042,0.08153628303805285,0.08091312403796547,0.07990085283246225,0.08142368199226467,0.08333133291362319,0.08632984795684126,0.08737719417888683,0.08857942770699856,0.09218129188460707,0.09316852810220325,0.09117119986614688,0.09008750955482939,0.09282690133653392,0.09445025098530642,0.09328082816453918,0.09299559554058644,0.0945581234963835,0.09629851432723736,0.0947798217585766,0.08918492233963017,0.07869713794920662,0.07287552235229922,0.15529929625624278,0.07703795418630904,0.06017541946911569
event_9,0.09382870478954396,0.09467049427155572,0.09414493107705692,0.09368134112483643,0.09320008495558588,0.09285691195456618,0.09190605967737497,0.09053911038345469,0.09043472902491245,0.08953976990278273,0.08762922603227573,0.08751419367261645,0.08582402259140082,0.08399305074192769,0.08201398212647372,0.07969097110718339,0.07758078638138119,0.07616529798435814,0.0754464214862063,0.07442504764263101,0.07319053591615064,0.07197583652407426,0.07078484551943717,0.07121920648650389,0.07019938239861236,0.0676479255337948,0.06491631216294509,0.06478628027939604,0.06334179385661402,0.062199995778359544,0.061244455675568896,0.06079454801542464,0.060792754429590146,0.060695168262198514,0.06064664066071413,0.060258889460765616,0.06023945849379655,0.060136959297061046,0.06025335491376993,0.0685990145602246,0.0658951083078225,0.05780197869336422,0.05673051461476301,0.05649665550832175,0.061183642010024124,0.06513669896114437,0.06347755006302275,0.06353024615175694,0.06718698000801197,0.06715120991908413,0.06514448015573232,0.0639991600796199,0.06521524526503154,0.0659633783291458,0.06769845579560631,0.07161353105343148,0.07577339605821418,0.07672114928121569,0.07887207015516026,0.08152437971499106,0.08089915815364276,0.07988632351977455,0.08141107329796,0.08387554374410935,0.08688701552818552,0.0879235567401109,0.08911901494418716,0.0927579417837529,0.09375355693785382,0.09173779476705188,0.09064987328677755,0.09399551903355921,0.09559713220167224,0.09435764952202592,0.09403103309140012,0.09506867857818489,0.09682553374159733,0.09529569218167402,0.0897164688266858,0.07917180557317878,0.07315488888790457,0.15603898184221549,0.07762920091404067,0.060594931722007715
event_10,0.09686937283538748,0.09774472882943716,0.09718280393987457,0.09611883179758002,0.09565918127671082,0.0953480445457921,0.09442292117333738,0.09300745621477265,0.09289520343497132,0.09194846877519124,0.08997114502288502,0.08985131905288948,0.08876588969777784,0.08691350356456347,0.0856153882040247,0.08391418164228719,0.08166620559492459,0.08015840417719723,0.07940220804411176,0.07907795337820754,0.0785033945533688,0.07792340200926666,0.07744317312057625,0.07816594976209111,0.07723602047303971,0.07510425185723536,0.07525714536309643,0.0751088477682976,0.07345812430678336,0.07286108388293179,0.07117799684502413,0.07228243498729674,0.07261845584433582,0.07345786256671996,0.07339320747557133,0.07325865730258119,0.07505512896334945,0.07706907066114183,0.07715019006402847,0.11957881145487574,0.09843921590534484,0.08225087412719677,0.07932171388376723,0.07423298573514753,0.07919376047405778,0.08459911527812022,0.0800750628109571,0.07818685123842688,0.08204218126367621,0.08062445083822475,0.0777298448654712,0.07468555053297851,0.07684015508932837,0.07686458425734634,0.07874800469262917,0.07972825244221193,0.08364934864960323,0.08453857014334908,0.0858368525660444,0.08783524861410588,0.08624385779751811,0.08428515220747743,0.08581839363869609,0.08836015797507421,0.09071558746593943,0.09093497882964413,0.09208356694241554,0.09521451270280117,0.0962450656104102,0.09417448024781643,0.09307751227872148,0.09652104040511869,0.09811356041323703,0.09678873447272383,0.09638712623991785,0.09799671565001128,0.09982764375160075,0.09826937363252101,0.09262343874660453,0.08173697911597341,0.07468968789513139,0.160039396553984,0.08097341060858479,0.06305805718931405
